INCIDENT_ADDRESS,BOROUGH,COMMUNITY_BOARD,POLICE_PRECINCT,CITY_COUNCIL_DISTRICT,BBL,CREATED_DATE,STATUS,RESOLUTION_ACTION,CLOSED_DATE,X_COORDINATE,Y_COORDINATE,LATITUDE,LONGITUDE,ZIP_CODE,CENSUS_TRACT,BIN,NTA,LOCATION
5525 AMBOY ROAD,STATEN ISLAND,03 STATEN ISLAND,Precinct 123,51,5068150085,2/6/2018,Open,Site downloaded for cleaning,,930474,132824,40.531084,-74.193451,10312,20804,5083368,Rossville-Woodrow,"(40.531084, -74.193451)"
599 LINCOLN PLACE,BROOKLYN,08 BROOKLYN,Precinct 77,35,3012520030,2/4/2018,Open,Site downloaded for cleaning,,996273,183865,40.671336,-73.956658,11216,219,3032137,Crown Heights North,"(40.671336, -73.956658)"
1858 BATH AVENUE,BROOKLYN,11 BROOKLYN,Precinct 62,43,3064380032,2/3/2018,Open,Site to be cleaned.,,983019,158952,40.602963,-74.004433,11214,280,3168693,Bath Beach,"(40.602963, -74.004433)"
219-09 LINDEN BOULEVARD,QUEENS,13 QUEENS,Precinct 105,27,4113200006,1/31/2018,Open,Site to be cleaned.,,1056121,192721,40.69536,-73.740818,11411,598,4244323,Cambria Heights,"(40.69536, -73.740818)"
851 BROADWAY,BROOKLYN,04 BROOKLYN,Precinct 83,34,3031340003,1/31/2018,Open,Site to be cleaned.,,1001321,193870,40.698789,-73.938435,11206,389,3071734,Bushwick South,"(40.698789, -73.938435)"
3405 THIRD AVENUE,BRONX,03 BRONX,Precinct 42,16,2023710050,1/31/2018,Open,Site to be cleaned.,,1010002,241143,40.82852,-73.906947,10456,185,2117399,Morrisania-Melrose,"(40.82852, -73.906947)"
1924 FOSTER AVENUE,BROOKLYN,14 BROOKLYN,Precinct 70,45,,1/30/2018,Open,Property Research Required,,995586,170974,40.635954,-73.959156,11230,764,,Flatbush,"(40.635954, -73.959156)"
1903 FOSTER AVENUE,BROOKLYN,14 BROOKLYN,Precinct 70,40,,1/30/2018,Open,Property Research Required,,995534,170948,40.635882,-73.959344,11230,518,,Flatbush,"(40.635882, -73.959344)"
30-80 STEINWAY STREET,QUEENS,01 QUEENS,Precinct 114,22,4006600082,1/29/2018,Open,Site to be cleaned.,,1007384,216930,40.762069,-73.916491,11103,155,4010679,Astoria,"(40.762069, -73.916491)"
1985 STILLWELL AVENUE,BROOKLYN,11 BROOKLYN,Precinct 62,47,3070750052,1/25/2018,Open,Site to be cleaned.,,988261,157269,40.598343,-73.985557,11223,404,3189703,Bensonhurst East,"(40.598343, -73.985557)"
808 COLUMBUS AVENUE,MANHATTAN,07 MANHATTAN,Precinct 24,7,1018527501,1/24/2018,Open,Site to be cleaned.,,993584,228761,40.794568,-73.96629,10025,185,1088432,Upper West Side,"(40.794568, -73.96629)"
403 CRESCENT STREET,BROOKLYN,05 BROOKLYN,Precinct 75,37,3041700001,1/24/2018,Open,Site to be cleaned.,,1020063,186671,40.678973,-73.870883,11208,1190,3093528,Cypress Hills-City Line,"(40.678973, -73.870883)"
120 120 STREET,QUEENS,01 QUEENS,Unspecified,,,1/23/2018,Open,Property Research Required,,,,,,,,,,
425 GRAHAM AVENUE,BROOKLYN,01 BROOKLYN,Precinct 94,34,3027390024,1/22/2018,Open,Site downloaded for cleaning,,999518,200773,40.717739,-73.944922,11211,497,3068195,East Williamsburg,"(40.717739, -73.944922)"
366 GRAHAM AVENUE,BROOKLYN,01 BROOKLYN,Precinct 94,34,3027550001,1/21/2018,Open,Site downloaded for cleaning,,999634,199897,40.715335,-73.944506,11211,497,3393865,East Williamsburg,"(40.715335, -73.944506)"
654 COLES STREET,BROOKLYN,01 BROOKLYN,Unspecified,,,1/17/2018,Open,Property Research Required,,,,,,,,,,
1436 EAST GUNHILL ROAD,BRONX,11 BRONX,Precinct 49,12,2045660047,1/17/2018,Open,Site downloaded for cleaning,,1027297,256089,40.869475,-73.844357,10469,360,2055505,Allerton-Pelham Gardens,"(40.869475, -73.844357)"
108-56 ROOSEVELT AVENUE,QUEENS,04 QUEENS,Precinct 110,21,4019960034,1/17/2018,Open,Site downloaded for cleaning,,1023520,212865,40.750855,-73.858266,11368,401,4049198,North Corona,"(40.750855, -73.858266)"
135 CHRYSTIE STREET,MANHATTAN,03 MANHATTAN,Precinct 5,1,1004240029,1/14/2018,Open,Site downloaded for cleaning,,986147,201405,40.719487,-73.993157,10002,18,1005666,Chinatown,"(40.719487, -73.993157)"
816 QUENTIN ROAD,BROOKLYN,15 BROOKLYN,Precinct 61,44,3066650007,1/10/2018,Open,Site downloaded for cleaning,,994087,160625,40.60755,-73.964572,11223,418,3177547,Homecrest,"(40.60755, -73.964572)"
49 LUDLOW STREET,MANHATTAN,03 MANHATTAN,Precinct 7,1,1003090022,1/9/2018,Open,Site downloaded for cleaning,,986962,200310,40.716481,-73.990217,10002,16,1004016,Chinatown,"(40.716481, -73.990217)"
211 EAST BROADWAY,MANHATTAN,03 MANHATTAN,Precinct 7,1,1002850020,1/9/2018,Open,Site downloaded for cleaning,,987690,199504,40.714263,-73.987667,10002,6,1003699,Lower East Side,"(40.714263, -73.987667)"
147 LAFAYETTE STREET,MANHATTAN,02 MANHATTAN,Precinct 5,1,1002340017,1/9/2018,Open,Site downloaded for cleaning,,984387,201426,40.719545,-73.999506,10013,45,1003058,SoHo-TriBeCa-Civic Center-Little Italy,"(40.719545, -73.999506)"
128 BEDFORD AVENUE,BROOKLYN,01 BROOKLYN,Precinct 94,33,3023040021,3/12/2018,Open,Site to be cleaned.,,996423,201366,40.719372,-73.956086,11249,517,3061678,North Side-South Side,"(40.719372, -73.956086)"
58 NORTH    5 STREET,BROOKLYN,01 BROOKLYN,Precinct 94,33,3023410009,3/12/2018,Open,Notice of Intent to Clean and Forever graffiti free form sent,,994782,201103,40.718652,-73.962006,11249,555,3062292,North Side-South Side,"(40.718652, -73.962006)"
4950 BROADWAY,MANHATTAN,12 MANHATTAN,Precinct 34,10,1022360005,3/12/2018,Open,Site to be cleaned.,,1006202,255469,40.867851,-73.920631,10034,293,1064924,Marble Hill-Inwood,"(40.867851, -73.920631)"
1807 GRAVESEND NECK ROAD,BROOKLYN,15 BROOKLYN,Precinct 61,48,3073790072,3/9/2018,Open,Notice of Intent to Clean and Forever graffiti free form sent,,997373,156359,40.595836,-73.952746,11229,592,3200935,Sheepshead Bay-Gerritsen Beach-Manhattan Beach,"(40.595836, -73.952746)"
10-15 43 AVENUE,QUEENS,02 QUEENS,Precinct 108,26,4004600001,3/9/2018,Open,Notice of Intent to Clean and Forever graffiti free form sent,,998488,213302,40.75213,-73.948611,11101,19,4005291,Hunters Point-Sunnyside-West Maspeth,"(40.75213, -73.948611)"
229 WEST   42 STREET,MANHATTAN,05 MANHATTAN,Precinct 14,3,1010140017,3/7/2018,Open,Notice of Intent to Clean and Forever graffiti free form sent,,987522,214916,40.756571,-73.98819,10036,119,1024683,Midtown-Midtown South,"(40.756571, -73.98819)"
70 NORTH    9 STREET,BROOKLYN,01 BROOKLYN,Precinct 94,33,3023090017,3/6/2018,Open,Site to be cleaned.,,995422,201921,40.720896,-73.959696,11249,557,3061729,North Side-South Side,"(40.720896, -73.959696)"
43-05 CRESCENT STREET,QUEENS,02 QUEENS,Precinct 108,26,4004340008,3/4/2018,Open,Notice of Intent to Clean and Forever graffiti free form sent,,1000247,212066,40.748735,-73.942265,11101,19,4005155,Hunters Point-Sunnyside-West Maspeth,"(40.748735, -73.942265)"
7301 NEW UTRECHT AVENUE,BROOKLYN,11 BROOKLYN,Precinct 62,43,3062030016,3/1/2018,Open,Site to be cleaned.,,984386,164170,40.617285,-73.99951,11204,264,3158968,Bensonhurst West,"(40.617285, -73.99951)"
45 MACLEAN AVE,STATEN ISLAND,01 STATEN ISLAND,Unspecified,,,2/22/2018,Open,Property Research Required,,,,,,,,,,
320 92 STREET,BROOKLYN,10 BROOKLYN,Precinct 68,43,3061030011,2/19/2018,Open,Notice of Intent to Clean and Forever graffiti free form sent,,975387,164872,40.619208,-74.031925,11209,58,3155099,Bay Ridge,"(40.619208, -74.031925)"
8901 3 AVENUE,BROOKLYN,10 BROOKLYN,Precinct 68,43,3060640004,2/19/2018,Open,Notice of Intent to Clean and Forever graffiti free form sent,,975386,165640,40.621316,-74.03193,11209,60,3154167,Bay Ridge,"(40.621316, -74.03193)"
860A CONEY ISLAND AVENUE,BROOKLYN,12 BROOKLYN,Precinct 66,40,,2/18/2018,Open,Property Research Required,,993143,171112,40.636335,-73.967958,11218,482,,Flatbush,"(40.636335, -73.967958)"
817 DEKALB AVENUE,BROOKLYN,03 BROOKLYN,Precinct 79,36,3017767502,2/17/2018,Open,Site downloaded for cleaning,,999860,191491,40.692262,-73.94371,11221,261,3395369,Bedford,"(40.692262, -73.94371)"
160 LENOX AVENUE,MANHATTAN,10 MANHATTAN,Precinct 28,9,1017170001,2/17/2018,Open,Site downloaded for cleaning,,998467,231989,40.803421,-73.948647,10026,190,1087803,Central Harlem South,"(40.803421, -73.948647)"
5719 FLATLANDS AVENUE,BROOKLYN,18 BROOKLYN,Precinct 63,46,3077830039,2/15/2018,Open,Site downloaded for cleaning,,1006161,168991,40.630491,-73.921061,11234,728,3215812,Flatlands,"(40.630491, -73.921061)"
4016A-4024 GLENWOOD RD,BROOKLYN,01 BROOKLYN,Unspecified,,,2/13/2018,Open,Property Research Required,,,,,,,,,,
907 SUMMIT AVENUE,BRONX,04 BRONX,Precinct 44,8,2025230048,2/13/2018,Open,Notice of Intent to Clean and Forever graffiti free form sent,,1003246,242107,40.831183,-73.931357,10452,189,2003407,Highbridge,"(40.831183, -73.931357)"
7501 15 AVENUE,BROOKLYN,11 BROOKLYN,Precinct 62,43,3062240007,2/4/2018,Open,Site downloaded for cleaning,,983386,164266,40.617549,-74.003112,11228,188,3160106,Bensonhurst West,"(40.617549, -74.003112)"
661B FLATBUSH AVENUE,BROOKLYN,09 BROOKLYN,Precinct 71,40,,2/2/2018,Open,Property Research Required,,995288,178701,40.657163,-73.960218,11225,79601,,Prospect Lefferts Gardens-Wingate,"(40.657163, -73.960218)"
63 FENIMORE STREET,BROOKLYN,09 BROOKLYN,Precinct 71,40,3050370001,2/2/2018,Open,Site downloaded for cleaning,,995425,179051,40.658124,-73.959723,11225,79801,3115281,Prospect Lefferts Gardens-Wingate,"(40.658124, -73.959723)"
1615 ST NICHOLAS AVENUE,MANHATTAN,12 MANHATTAN,Precinct 34,10,1021690048,2/2/2018,Open,Site downloaded for cleaning,,1003801,250917,40.855363,-73.929326,10040,279,1084422,Washington Heights North,"(40.855363, -73.929326)"
897 BROADWAY,BROOKLYN,04 BROOKLYN,Precinct 83,34,3031360002,1/31/2018,Open,Site to be cleaned.,,1001748,193554,40.697921,-73.936896,11206,389,3000000,Bushwick South,"(40.697921, -73.936896)"
1740 CONEY ISLAND AVENUE,BROOKLYN,12 BROOKLYN,Precinct 66,44,3065920006,1/31/2018,Open,Site to be cleaned.,,994447,163217,40.614664,-73.963272,11230,442,3174022,Ocean Parkway South,"(40.614664, -73.963272)"
1616 CONEY ISLAND AVENUE,BROOKLYN,12 BROOKLYN,Precinct 66,44,3065460038,1/31/2018,Open,Site to be cleaned.,,994251,164578,40.6184,-73.963976,11230,454,3172004,Ocean Parkway South,"(40.6184, -73.963976)"
220-21 LINDEN BOULEVARD,QUEENS,13 QUEENS,Precinct 105,27,4113210001,1/31/2018,Open,Site downloaded for cleaning,,1056382,192615,40.695067,-73.739878,11411,596,4244353,Cambria Heights,"(40.695067, -73.739878)"
918 KENT AVENUE,BROOKLYN,03 BROOKLYN,Precinct 79,33,3019110001,1/30/2018,Open,Site downloaded for cleaning,,995591,191804,40.693127,-73.959103,11205,235,3334940,Clinton Hill,"(40.693127, -73.959103)"
25 QUENTIN ROAD,BROOKLYN,11 BROOKLYN,Precinct 62,44,3066190050,1/27/2018,Open,Site to be cleaned.,,988232,159782,40.60524,-73.985659,11223,404,3175287,Bensonhurst East,"(40.60524, -73.985659)"
2 I AVENUE,BROOKLYN,12 BROOKLYN,Precinct 66,44,3054640001,2/7/2018,Open,Site downloaded for cleaning,,990605,167296,,,,,,,
166 KINGS HIGHWAY,BROOKLYN,11 BROOKLYN,Precinct 62,44,3066190042,1/27/2018,Open,Site to be cleaned.,,988304,159979,40.605781,-73.9854,11223,404,3175285,Bensonhurst East,"(40.605781, -73.9854)"
2672 PARK AVENUE,BRONX,01 BRONX,Precinct 40,8,,1/26/2018,Open,Property Research Required,,1004384,236302,40.815247,-73.927262,10451,51,,Mott Haven-Port Morris,"(40.815247, -73.927262)"
1935 FOSTER AVENUE,BROOKLYN,14 BROOKLYN,Precinct 70,40,,1/26/2018,Open,Property Research Required,,995605,170993,40.636006,-73.959088,11230,518,,Flatbush,"(40.636006, -73.959088)"
361 CANAL STREET,MANHATTAN,02 MANHATTAN,Precinct 1,1,1002280003,1/25/2018,Open,Site downloaded for cleaning,,983109,201956,40.721,-74.004116,10013,47,1002955,SoHo-TriBeCa-Civic Center-Little Italy,"(40.721, -74.004116)"
1090 LIBERTY AVENUE,BROOKLYN,05 BROOKLYN,Precinct 75,37,3042000019,1/24/2018,Open,Site downloaded for cleaning,,1020550,186462,40.678398,-73.869128,11208,1190,3094331,Cypress Hills-City Line,"(40.678398, -73.869128)"
196 GRAHAM AVENUE,BROOKLYN,01 BROOKLYN,Precinct 90,34,3030440003,1/24/2018,Open,Site downloaded for cleaning,,999945,197426,40.708552,-73.943389,11206,493,3070989,Bushwick South,"(40.708552, -73.943389)"
601 VAN SINDEREN AVENUE,BROOKLYN,05 BROOKLYN,Precinct 75,42,3038330006,1/24/2018,Open,Site downloaded for cleaning,,1012021,180413,40.661825,-73.899903,11207,1132,3085342,East New York (Pennsylvania Ave),"(40.661825, -73.899903)"
3324 THIRD AVENUE,BRONX,03 BRONX,Precinct 42,16,2026070115,1/23/2018,Open,Site downloaded for cleaning,,1009755,240297,40.826199,-73.907843,10456,185,2115245,Morrisania-Melrose,"(40.826199, -73.907843)"
421 COLUMBIA STREET,BROOKLYN,06 BROOKLYN,Precinct 76,38,3005340010,1/22/2018,Open,Site downloaded for cleaning,,982537,186216,40.677797,-74.006176,11231,59,3008432,Carroll Gardens-Columbia Street-Red Hook,"(40.677797, -74.006176)"
110 KENT AVENUE,BROOKLYN,01 BROOKLYN,Precinct 94,33,3023160049,1/22/2018,Open,Site downloaded for cleaning,,994998,201884,40.720795,-73.961226,11249,557,3061864,North Side-South Side,"(40.720795, -73.961226)"
1061 ST NICHOLAS AVENUE,MANHATTAN,12 MANHATTAN,Precinct 33,7,1021220120,1/20/2018,Open,Site downloaded for cleaning,,1000836,244346,40.837333,-73.94006,10032,245,1062938,Washington Heights South,"(40.837333, -73.94006)"
1062 3 AVENUE,MANHATTAN,08 MANHATTAN,Precinct 19,4,1013977503,1/19/2018,Open,Site downloaded for cleaning,,993979,217590,40.763906,-73.964879,10065,11402,1042051,Upper East Side-Carnegie Hill,"(40.763906, -73.964879)"
322 NICHOLS AVENUE,BROOKLYN,05 BROOKLYN,Precinct 75,37,3041500057,1/18/2018,Open,Site downloaded for cleaning,,1020781,188137,40.682994,-73.868286,11208,1184,3092992,Cypress Hills-City Line,"(40.682994, -73.868286)"
740 GERARD AVENUE,BRONX,04 BRONX,Precinct 44,8,2024730043,1/18/2018,Open,Site downloaded for cleaning,,1004547,239690,40.824546,-73.926663,10451,63,2002897,West Concourse,"(40.824546, -73.926663)"
7701 3 AVENUE,BROOKLYN,10 BROOKLYN,Precinct 68,43,3059600007,1/17/2018,Open,Site downloaded for cleaning,,976363,168771,40.629911,-74.028414,11209,64,3149780,Bay Ridge,"(40.629911, -74.028414)"
68 KENMARE STREET,MANHATTAN,02 MANHATTAN,Precinct 5,1,1004800033,1/17/2018,Open,Site downloaded for cleaning,,985324,201960,40.72101,-73.996125,10012,41,1007186,SoHo-TriBeCa-Civic Center-Little Italy,"(40.72101, -73.996125)"
124 FEATHERBED LANE,BRONX,05 BRONX,Precinct 46,14,2028740097,1/16/2018,Open,Site downloaded for cleaning,,1006380,247554,40.846126,-73.920014,10452,21301,2008773,University Heights-Morris Heights,"(40.846126, -73.920014)"
2475 65 STREET,BROOKLYN,11 BROOKLYN,Precinct 62,44,3065620056,1/12/2018,Open,Site downloaded for cleaning,,991192,161505,40.609968,-73.974998,11204,434,3172599,Bensonhurst East,"(40.609968, -73.974998)"
212 pitt street,MANHATTAN,Unspecified MANHATTAN,Unspecified,,,1/11/2018,Open,Property Research Required,,,,,,,,,,
978 MYRTLE AVENUE,BROOKLYN,03 BROOKLYN,Precinct 79,36,3017570020,1/11/2018,Open,Site downloaded for cleaning,,1000228,192910,40.696156,-73.942379,11206,283,3390082,Stuyvesant Heights,"(40.696156, -73.942379)"
107 SPRING STREET,MANHATTAN,02 MANHATTAN,Precinct 1,1,1004990036,1/11/2018,Open,Site downloaded for cleaning,,984312,202872,40.723514,-73.999776,10012,49,1079961,SoHo-TriBeCa-Civic Center-Little Italy,"(40.723514, -73.999776)"
137 ORCHARD STREET,MANHATTAN,03 MANHATTAN,Precinct 7,1,1004150068,1/9/2018,Open,Site downloaded for cleaning,,987219,201586,40.719962,-73.989304,10002,18,1005501,Chinatown,"(40.719962, -73.989304)"
162 EAST BROADWAY,MANHATTAN,03 MANHATTAN,Precinct 7,1,1002830072,1/9/2018,Open,Site downloaded for cleaning,,986933,199425,40.714052,-73.990322,10002,6,1003598,Lower East Side,"(40.714052, -73.990322)"
335 EAST HOUSTON STREET,MANHATTAN,03 MANHATTAN,Precinct 7,2,1003450018,1/9/2018,Open,Site downloaded for cleaning,,989157,201956,40.720998,-73.982298,10002,2201,1004140,Lower East Side,"(40.720998, -73.982298)"
29-38 200 STREET,QUEENS,11 QUEENS,Precinct 111,19,4060220023,3/12/2018,Open,Site to be cleaned.,,1042561,219887,40.770023,-73.789483,11360,1085,4134014,Bayside-Bayside Hills,"(40.770023, -73.789483)"
9 GRANITE STREET,BROOKLYN,04 BROOKLYN,Precinct 83,37,3034560001,3/12/2018,Open,Site to be cleaned.,,1009721,187825,40.682177,-73.908165,11207,403,3080286,Bushwick South,"(40.682177, -73.908165)"
46-20 DITMARS BOULEVARD,QUEENS,01 QUEENS,Precinct 114,22,4007680048,3/11/2018,Open,Site to be cleaned.,,1011385,219823,40.769998,-73.902036,11105,137,4538527,Steinway,"(40.769998, -73.902036)"
1600 CATON AVENUE,BROOKLYN,14 BROOKLYN,Precinct 70,40,3050770001,3/9/2018,Open,Notice of Intent to Clean and Forever graffiti free form sent,,993916,176336,40.650673,-73.965166,11226,506,3116471,Flatbush,"(40.650673, -73.965166)"
739 PROSPECT PLACE,BROOKLYN,08 BROOKLYN,Precinct 77,36,3012260066,3/8/2018,Open,Notice of Intent to Clean and Forever graffiti free form sent,,997615,184988,40.674416,-73.951818,11216,31701,3330793,Crown Heights North,"(40.674416, -73.951818)"
528 EAST FORDHAM ROAD,BRONX,06 BRONX,Precinct 48,15,2030590032,3/7/2018,Open,Site to be cleaned.,,1015387,252474,40.859603,-73.887436,10458,387,2011811,Belmont,"(40.859603, -73.887436)"
334 GRAND STREET,BROOKLYN,01 BROOKLYN,Precinct 90,34,3023960010,3/6/2018,Open,Notice of Intent to Clean and Forever graffiti free form sent,,996368,198883,40.712557,-73.956289,11211,523,3062837,North Side-South Side,"(40.712557, -73.956289)"
58 EAST    8 STREET,MANHATTAN,02 MANHATTAN,Precinct 6,1,1005480028,3/5/2018,Open,Site to be cleaned.,,986087,205595,40.730988,-73.993372,10003,59,1008837,West Village,"(40.730988, -73.993372)"
5623 FT HAMILTON PARKWAY,BROOKLYN,12 BROOKLYN,Precinct 66,44,3056880001,3/2/2018,Open,Site to be cleaned.,,983449,170575,40.634866,-74.002886,11219,216,3139964,Borough Park,"(40.634866, -74.002886)"
116-54 NEWBURG STREET,QUEENS,12 QUEENS,Precinct 113,27,4103150118,2/28/2018,Open,Notice of Intent to Clean and Forever graffiti free form sent,,1049345,191709,40.692635,-73.765264,11412,424,4220015,St. Albans,"(40.692635, -73.765264)"
352 BROADWAY,BROOKLYN,01 BROOKLYN,Precinct 90,33,3021520015,2/23/2018,Open,Site downloaded for cleaning,,996509,197103,40.707671,-73.955783,11211,529,3059759,Williamsburg,"(40.707671, -73.955783)"
524 UNION AVENUE,BROOKLYN,01 BROOKLYN,Precinct 94,33,3027410002,2/20/2018,Open,Site downloaded for cleaning,,997570,200197,40.716162,-73.95195,11211,515,3068237,North Side-South Side,"(40.716162, -73.95195)"
8623 AVENUE B,BROOKLYN,17 BROOKLYN,Precinct 67,45,3047460001,2/20/2018,Open,Notice of Intent to Clean and Forever graffiti free form sent,,1006722,175295,40.647793,-73.919019,11236,934,3104620,Rugby-Remsen Village,"(40.647793, -73.919019)"
176 RIVINGTON STREET,MANHATTAN,03 MANHATTAN,Precinct 7,1,1003440168,2/18/2018,Open,Site downloaded for cleaning,,988564,201191,40.718899,-73.984437,10002,2201,1004120,Lower East Side,"(40.718899, -73.984437)"
24 24 st,QUEENS,01 QUEENS,Unspecified,,,2/13/2018,Open,Property Research Required,,,,,,,,,,
21-44 44 ROAD,QUEENS,02 QUEENS,Precinct 108,26,4004380045,2/9/2018,Open,Notice of Intent to Clean and Forever graffiti free form sent,,999415,211975,,,,,,,
31-02 44 STREET,QUEENS,01 QUEENS,Precinct 114,26,4006940001,2/8/2018,Open,Notice of Intent to Clean and Forever graffiti free form sent,,1008014,215972,40.759438,-73.91422,11103,153,4011897,Astoria,"(40.759438, -73.91422)"
2233 BEDFORD AVENUE,BROOKLYN,17 BROOKLYN,Precinct 67,40,3051070014,2/2/2018,Open,Site to be cleaned.,,996523,175856,40.649353,-73.955772,11226,794,3117299,Erasmus,"(40.649353, -73.955772)"
171-17 LIBERTY AVENUE,QUEENS,12 QUEENS,Precinct 103,27,,1/31/2018,Open,Property Research Required,,1043276,195779,40.703848,-73.787113,11433,444,,Jamaica,"(40.703848, -73.787113)"
1705 65 STREET,BROOKLYN,11 BROOKLYN,Precinct 62,38,3055460083,1/31/2018,Open,Site to be cleaned.,,986456,165258,40.620272,-73.992054,11204,252,3133530,Bensonhurst West,"(40.620272, -73.992054)"
22 RIDGEWOOD PLACE,BROOKLYN,04 BROOKLYN,Precinct 83,37,3033630018,1/30/2018,Open,Site to be cleaned.,,1008952,193692,40.698282,-73.910916,11237,439,3076892,Bushwick North,"(40.698282, -73.910916)"
26 Rivington Street,MANHATTAN,Unspecified MANHATTAN,Unspecified,,,1/29/2018,Open,Property Research Required,,,,,,,,,,
450 P AVENUE,BROOKLYN,15 BROOKLYN,Precinct 61,44,3066357501,1/26/2018,Open,Site downloaded for cleaning,,992370,161174,,,,,,,
222ND 222ND STREET,QUEENS,01 QUEENS,Unspecified,,,1/25/2018,Open,Property Research Required,,,,,,,,,,
7615 18 AVENUE,BROOKLYN,11 BROOKLYN,Precinct 62,47,3062380004,1/25/2018,Open,Site downloaded for cleaning,,985157,162476,40.612636,-73.996733,11214,274,3160879,Bensonhurst West,"(40.612636, -73.996733)"
1089 LIBERTY AVENUE,BROOKLYN,05 BROOKLYN,Precinct 75,37,3041710025,1/24/2018,Open,Site downloaded for cleaning,,1020540,186466,40.678409,-73.869164,11208,1190,3093577,Cypress Hills-City Line,"(40.678409, -73.869164)"
1075 LIBERTY AVENUE,BROOKLYN,05 BROOKLYN,Precinct 75,37,3041710029,1/24/2018,Open,Site downloaded for cleaning,,1020434,186446,40.678354,-73.869546,11208,1190,3093593,Cypress Hills-City Line,"(40.678354, -73.869546)"
167 BEACH   90 STREET,QUEENS,14 QUEENS,Precinct 100,32,4161330032,1/20/2018,Open,Site downloaded for cleaning,,1036151,152880,40.586145,-73.813141,11693,94203,4457815,Hammels-Arverne-Edgemere,"(40.586145, -73.813141)"
68 NELSON STREET,BROOKLYN,06 BROOKLYN,Precinct 76,38,3005260020,1/17/2018,Open,Site downloaded for cleaning,,983272,186225,40.677822,-74.003526,11231,59,3008350,Carroll Gardens-Columbia Street-Red Hook,"(40.677822, -74.003526)"
323 COLUMBIA STREET,BROOKLYN,06 BROOKLYN,Precinct 76,39,3003630002,1/17/2018,Open,Site downloaded for cleaning,,983017,187522,40.681382,-74.004446,11231,51,3005181,Carroll Gardens-Columbia Street-Red Hook,"(40.681382, -74.004446)"
